State_Name,District_Name,Crop_Year,Season,Crop,Area_Hectares,Production_Tonnes,Yield_Per_Hectare,Temperature_Avg,Rainfall_MM
Gujarat,District_1,2018,Summer,Sugarcane,4720.79,908.28,0.192,23.1,255.1
Haryana,District_2,2021,Kharif,Rice,196.35,1638.2,8.343,21.6,62.6
Tamil Nadu,District_3,2020,Summer,Cotton,602.79,753.41,1.25,21.3,185.2
West Bengal,District_4,2021,Kharif,Mustard,1378.26,4865.56,3.53,21.6,439.6
Gujarat,District_5,2021,Rabi,Cotton,6648.62,40057.61,6.025,33.2,286.6
Madhya Pradesh,District_6,2021,Kharif,Wheat,1608.57,8555.44,5.319,21.4,395.2
Punjab,District_7,2021,Kharif,Pulses,1772.78,14095.16,7.951,22.1,363.8
Gujarat,District_8,2022,Summer,Maize,620.56,10194.39,16.428,18.8,97.6
Tamil Nadu,District_9,2022,Summer,Sugarcane,1936.2,2980.43,1.539,26.5,239.5
West Bengal,District_10,2019,Rabi,Mustard,1218.42,15138.72,12.425,24.7,37.3
Haryana,District_11,2018,Kharif,Cotton,223.98,9113.81,13.386217961980568,19.3,85.7
Tamil Nadu,District_12,2021,Kharif,Soybean,2423.42,25826.82,10.657,20.5,452.2
Tamil Nadu,District_13,2019,Kharif,Wheat,2894.0,1496.19,0.517,32.7,109.1
Punjab,District_14,2018,Rabi,Soybean,2448.83,219.83,0.09,25.2,33.3
Karnataka,District_15,2023,Rabi,Sugarcane,1133.8,14298.02,12.611,25.5,743.2
West Bengal,District_16,2020,Rabi,Mustard,421.5,5037.44,11.951,25.5,232.7
Maharashtra,District_17,2022,Rabi,Wheat,108.94,1912.05,17.551,32.0,273.6
Tamil Nadu,District_18,2023,Rabi,Mustard,1283.12,2079.27,1.62,19.8,67.7
Karnataka,District_19,2018,Summer,Maize,3235.51,137589.44,11.547757512842603,23.0,186.3
Maharashtra,District_20,2023,Kharif,Barley,2967.67,1137.64,0.383,24.2,182.4
West Bengal,District_21,2020,Kharif,Wheat,2480.15,828.85,0.334,16.4,76.9
Uttar Pradesh,District_22,2018,Kharif,Soybean,1018.2,3387.77,3.327,20.4,129.6
Madhya Pradesh,District_23,2023,Kharif,Sugarcane,3253.43,17513.66,5.383,30.2,44.7
Karnataka,District_24,2022,Kharif,Pulses,2763.25,90907.97,7.284258523084201,28.8,112.5
Rajasthan,District_25,2022,Kharif,Maize,718.64,7990.81,11.119,29.7,323.5
Uttar Pradesh,District_26,2019,Kharif,Barley,2157.27,443.36,0.206,22.1,81.7
Madhya Pradesh,District_27,2023,Kharif,Pulses,641.65,57313.78,7.740117803855475,22.7,682.6
Punjab,District_28,2021,Summer,Rice,1881.88,2895.16,1.538,16.1,47.0
Gujarat,District_29,2023,Kharif,Maize,299.13,848.47,2.836,29.7,120.5
Haryana,District_30,2018,Summer,Sugarcane,323.04,590.47,1.828,30.5,87.8
Rajasthan,District_31,2018,Rabi,Cotton,3159.62,10451.42,3.308,30.4,128.5
Punjab,District_32,2023,Kharif,Wheat,2800.52,4265.2,1.523,33.0,444.6
West Bengal,District_33,2020,Rabi,Mustard,2066.5,5002.1,2.421,27.1,67.5
Punjab,District_34,2022,Rabi,Sugarcane,1197.47,20532.3,17.146,32.8,103.4
Gujarat,District_35,2018,Rabi,Wheat,100.36,894.95,8.917,24.0,250.5
West Bengal,District_36,2022,Summer,Pulses,1017.52,23138.01,8.148411554087353,16.2,159.9
Rajasthan,District_37,2018,Rabi,Mustard,1727.07,1368.22,0.792,29.3,170.7
Gujarat,District_38,2019,Rabi,Groundnut,642.44,76573.86,6.16804107733952,16.0,68.6
Maharashtra,District_39,2021,Rabi,Soybean,537.81,7318.12,13.607,25.9,140.2
Haryana,District_40,2018,Kharif,Rice,4649.06,749.68,0.161,29.8,367.0
Rajasthan,District_41,2022,Kharif,Maize,1032.47,142.86,0.138,26.6,41.0
Maharashtra,District_42,2019,Summer,Sugarcane,1728.13,10030.51,5.804,36.4,85.0
Madhya Pradesh,District_43,2018,Summer,Rice,2378.28,1700.59,0.715,15.2,34.7
Rajasthan,District_44,2020,Kharif,Cotton,402.85,2360.55,5.86,24.6,228.1
Madhya Pradesh,District_45,2021,Summer,Wheat,1330.36,9407.8,7.072,25.1,395.6
West Bengal,District_46,2018,Kharif,Wheat,4103.7,13570.05,3.307,18.3,128.2
Maharashtra,District_47,2019,Rabi,Sugarcane,6763.01,18686.67,2.763,19.2,66.4
Haryana,District_48,2020,Rabi,Barley,1141.32,511.7,0.448,20.8,68.0
Gujarat,District_49,2023,Summer,Barley,864.42,25307.15,7.731596203699452,19.5,117.0
Tamil Nadu,District_50,2019,Kharif,Groundnut,1435.15,1250.67,0.871,24.5,116.7
Punjab,District_1,2019,Kharif,Soybean,1399.17,101.05,0.072,22.0,307.8
Uttar Pradesh,District_2,2020,Summer,Mustard,4388.57,508.94,0.116,26.6,86.9
Haryana,District_3,2019,Kharif,Cotton,404.89,4134.15,10.211,28.2,210.2
Maharashtra,District_4,2020,Rabi,Rice,828.92,686.62,0.828,27.9,116.2
Tamil Nadu,District_5,2018,Summer,Barley,358.83,2612.16,7.28,22.9,81.8
Haryana,District_6,2020,Summer,Groundnut,398.58,4951.17,12.422,26.4,113.9
Maharashtra,District_7,2020,Kharif,Groundnut,1598.11,2270.88,1.421,30.2,194.3
Karnataka,District_8,2021,Summer,Sugarcane,2464.78,1420.08,0.576,27.2,308.6
Karnataka,District_9,2020,Kharif,Cotton,572.84,456.67,0.797,34.3,121.3
Madhya Pradesh,District_10,2020,Kharif,Pulses,2373.44,3080.71,1.298,29.9,56.6
Haryana,District_11,2023,Kharif,Mustard,3332.84,134.63,0.04,33.6,330.2
Karnataka,District_12,2018,Kharif,Soybean,7590.9,1065.29,0.14,12.5,72.3
Maharashtra,District_13,2021,Kharif,Maize,1175.85,741.24,0.63,25.5,182.8
Madhya Pradesh,District_14,2023,Summer,Sugarcane,578.38,2081.69,3.599,23.4,145.5
Maharashtra,District_15,2022,Rabi,Mustard,402.43,2164.63,5.379,24.4,130.7
Madhya Pradesh,District_16,2018,Rabi,Maize,364.38,12580.9,7.095192243125322,21.0,100.5
Haryana,District_17,2018,Summer,Maize,3826.79,32055.24,8.377,27.0,243.7
Tamil Nadu,District_18,2022,Summer,Cotton,241.03,557.43,2.313,16.0,8.5
Gujarat,District_19,2020,Rabi,Cotton,3706.15,59233.88,15.983,27.0,368.4
Rajasthan,District_20,2023,Rabi,Rice,460.15,926.17,2.013,21.1,71.5
Tamil Nadu,District_21,2019,Rabi,Groundnut,552.69,3861.42,6.987,22.5,205.7
West Bengal,District_22,2021,Rabi,Mustard,942.41,6414.36,6.806,27.2,197.2
Maharashtra,District_23,2019,Rabi,Sugarcane,542.59,116643.1,9.553287498086021,25.4,411.6
West Bengal,District_24,2022,Kharif,Wheat,2784.93,1321.57,0.475,30.3,173.9
Tamil Nadu,District_25,2018,Summer,Sugarcane,6723.36,201.32,0.03,20.2,76.5
Madhya Pradesh,District_26,2018,Kharif,Rice,568.25,27877.33,14.084375478722649,24.6,41.1
Rajasthan,District_27,2021,Rabi,Soybean,711.78,854.01,1.2,29.4,112.3
Rajasthan,District_28,2018,Rabi,Groundnut,931.39,1733.01,1.861,26.8,31.0
Uttar Pradesh,District_29,2018,Rabi,Wheat,1883.82,557.45,0.296,27.1,89.8
Rajasthan,District_30,2021,Kharif,Barley,940.6,1740.53,1.85,30.5,117.4
Gujarat,District_31,2023,Kharif,Soybean,4390.76,845.06,0.192,23.0,85.5
Rajasthan,District_32,2023,Rabi,Cotton,3451.71,8222.77,2.382,21.9,153.5
Tamil Nadu,District_33,2021,Kharif,Maize,335.14,3365.01,10.041,27.9,122.9
Uttar Pradesh,District_34,2022,Kharif,Barley,1846.35,1073.22,0.581,24.3,114.2
Tamil Nadu,District_35,2018,Rabi,Sugarcane,5015.75,13277.26,2.647,30.6,21.3
Tamil Nadu,District_36,2018,Kharif,Sugarcane,668.62,4369.9,6.536,26.8,52.7
Punjab,District_37,2022,Summer,Cotton,817.08,186.97,0.229,21.9,248.2
Uttar Pradesh,District_38,2023,Summer,Rice,646.75,11843.74,18.313,26.7,282.4
Tamil Nadu,District_39,2020,Summer,Mustard,660.45,3933.57,5.956,20.5,34.1
Punjab,District_40,2020,Summer,Barley,206.76,24006.95,6.04480316753958,29.7,77.3
Punjab,District_41,2020,Rabi,Barley,290.52,3589.89,12.357,18.0,349.9
Uttar Pradesh,District_42,2023,Rabi,Pulses,1184.97,909.08,0.767,31.1,83.6
West Bengal,District_43,2023,Rabi,Soybean,4982.06,2194.17,0.44,26.6,135.7
Madhya Pradesh,District_44,2022,Summer,Groundnut,593.86,9955.49,16.764,24.2,470.3
Gujarat,District_45,2018,Summer,Soybean,576.65,938.14,1.627,28.8,111.1
Madhya Pradesh,District_46,2022,Kharif,Mustard,6012.05,1540.03,0.256,27.6,99.1
Rajasthan,District_47,2022,Kharif,Sugarcane,362.04,2137.66,5.904,31.7,130.9
Gujarat,District_48,2023,Summer,Sugarcane,208.25,531.63,2.553,31.6,653.8
Rajasthan,District_49,2020,Summer,Sugarcane,478.9,958.64,2.002,26.8,212.1
Tamil Nadu,District_50,2019,Summer,Pulses,565.22,3861.56,6.832,20.6,150.7
Maharashtra,District_1,2018,Summer,Sugarcane,191.05,18100.89,12.202679239473955,22.3,97.6
Uttar Pradesh,District_2,2023,Kharif,Mustard,964.84,4796.88,4.972,24.6,228.4
Gujarat,District_3,2020,Summer,Cotton,2831.17,2782.79,0.983,30.4,251.6
Gujarat,District_4,2019,Kharif,Groundnut,303.09,856.71,2.827,22.7,62.9
Tamil Nadu,District_5,2019,Summer,Mustard,1197.01,15409.52,12.873,23.1,257.1
West Bengal,District_6,2023,Summer,Groundnut,1629.35,5711.62,3.505,34.2,131.5
Punjab,District_7,2021,Summer,Mustard,1008.9,1032.67,1.024,24.5,151.4
Tamil Nadu,District_8,2018,Kharif,Sugarcane,1320.4,11475.54,8.691,21.8,73.2
Karnataka,District_9,2019,Kharif,Cotton,1335.86,6900.61,5.166,28.9,107.8
Punjab,District_10,2023,Rabi,Barley,486.52,879.81,1.808,24.7,65.1
Uttar Pradesh,District_11,2023,Summer,Soybean,4907.81,2560.44,0.522,18.1,62.6
Punjab,District_12,2020,Rabi,Maize,3819.05,1423.45,0.373,30.2,200.7
West Bengal,District_13,2021,Rabi,Cotton,3604.4,154864.67,11.872830044131277,21.3,111.7
Punjab,District_14,2018,Kharif,Barley,3022.0,6618.46,2.19,25.2,52.5
Uttar Pradesh,District_15,2022,Kharif,Rice,227.02,3944.76,17.376,24.7,847.0
West Bengal,District_16,2020,Rabi,Mustard,2768.5,6057.15,2.188,26.2,60.4
Madhya Pradesh,District_17,2019,Summer,Rice,2112.45,23593.91,11.169,14.0,355.6
Gujarat,District_18,2019,Kharif,Barley,235.92,2630.5,11.15,23.3,45.6
Gujarat,District_19,2020,Summer,Cotton,884.56,1230.45,1.391,30.6,213.8
Rajasthan,District_20,2023,Summer,Mustard,1446.34,10576.87,7.313,31.3,121.5
Madhya Pradesh,District_21,2019,Rabi,Maize,5792.49,2292.92,0.396,20.0,89.7
Madhya Pradesh,District_22,2021,Rabi,Sugarcane,2263.63,598.94,0.265,29.6,173.7
Punjab,District_23,2018,Rabi,Mustard,461.94,447.18,0.968,21.2,156.0
Gujarat,District_24,2021,Rabi,Mustard,5975.29,29553.13,4.946,23.1,77.5
Uttar Pradesh,District_25,2019,Kharif,Cotton,1145.71,3631.74,3.17,23.4,74.7
Haryana,District_26,2022,Kharif,Cotton,849.08,1231.08,1.45,25.5,42.1
Haryana,District_27,2018,Rabi,Barley,790.67,2097.49,2.653,30.0,189.5
West Bengal,District_28,2018,Kharif,Wheat,216.25,10008.27,5.957541986633577,26.3,54.4
Gujarat,District_29,2020,Rabi,Mustard,982.63,1919.64,1.954,24.4,148.9
Gujarat,District_30,2020,Summer,Soybean,1803.5,338.96,0.188,29.8,238.4
Haryana,District_31,2022,Summer,Mustard,745.92,4859.84,6.515,21.0,175.3
Gujarat,District_32,2023,Summer,Barley,1669.79,18260.98,10.936,24.6,83.2
Punjab,District_33,2018,Rabi,Groundnut,462.02,16517.84,14.225724049058,30.0,307.1
Karnataka,District_34,2022,Summer,Rice,952.48,1288.21,1.352,27.6,107.1
Maharashtra,District_35,2020,Kharif,Sugarcane,1504.99,20005.43,13.293,22.7,51.0
Madhya Pradesh,District_36,2020,Summer,Wheat,1325.65,4102.8,3.095,17.4,118.3
Rajasthan,District_37,2018,Summer,Maize,220.2,19181.87,10.684722021568195,26.6,237.3
West Bengal,District_38,2021,Summer,Maize,706.97,7048.22,9.97,17.1,86.5
Karnataka,District_39,2019,Kharif,Maize,5869.14,304.18,0.052,23.9,299.6
Haryana,District_40,2020,Rabi,Cotton,670.19,40950.05,8.637255211356843,30.9,80.1
Madhya Pradesh,District_41,2023,Kharif,Maize,1114.11,3221.74,2.892,28.0,89.4
Gujarat,District_42,2023,Rabi,Sugarcane,1005.5,7081.14,7.042,14.9,64.3
Rajasthan,District_43,2020,Rabi,Rice,5261.86,397.0,0.075,26.0,256.5
Gujarat,District_44,2021,Summer,Maize,3985.3,6361.31,1.596,23.4,142.2
Uttar Pradesh,District_45,2021,Rabi,Mustard,2459.05,15590.1,6.34,18.6,67.8
Uttar Pradesh,District_46,2022,Kharif,Mustard,414.37,54338.08,12.565385834953066,26.7,108.1
Rajasthan,District_47,2023,Kharif,Cotton,1570.55,24357.61,15.509,22.5,12.7
Rajasthan,District_48,2022,Rabi,Sugarcane,1935.15,6845.43,3.537,22.6,276.5
Haryana,District_49,2023,Summer,Rice,545.33,293.96,0.539,25.6,129.5
Rajasthan,District_50,2019,Summer,Wheat,459.2,3635.16,7.916,21.9,21.7
Punjab,District_1,2019,Kharif,Barley,6033.09,1225.66,0.203,25.5,46.3
Gujarat,District_2,2018,Summer,Rice,811.75,4240.63,5.224,22.0,105.9
Karnataka,District_3,2022,Rabi,Barley,5513.62,480.83,0.087,22.3,51.9
Tamil Nadu,District_4,2020,Rabi,Groundnut,2972.31,2174.93,0.732,30.0,280.0
Rajasthan,District_5,2022,Kharif,Barley,1648.92,1372.28,0.832,30.5,207.4
West Bengal,District_6,2020,Rabi,Soybean,1724.22,1309.96,0.76,16.5,197.9
Uttar Pradesh,District_7,2021,Kharif,Mustard,270.31,1329.62,4.919,28.7,18.5
Punjab,District_8,2022,Rabi,Sugarcane,1348.54,2431.39,1.803,32.0,97.5
Madhya Pradesh,District_9,2021,Kharif,Pulses,4523.41,4579.26,1.012,32.8,84.9
Tamil Nadu,District_10,2019,Summer,Cotton,2167.52,70.26,0.032,27.6,69.2
Karnataka,District_11,2019,Rabi,Soybean,1279.64,84.38,0.066,19.7,106.5
Tamil Nadu,District_12,2018,Rabi,Barley,6075.0,1793.57,0.295,28.1,60.3
Rajasthan,District_13,2022,Kharif,Maize,911.38,2215.75,2.431,20.7,176.3
Haryana,District_14,2021,Kharif,Sugarcane,590.19,3958.68,6.707,23.3,274.0
Uttar Pradesh,District_15,2020,Rabi,Soybean,1279.0,1000.74,0.782,26.9,255.8
Uttar Pradesh,District_16,2019,Kharif,Cotton,2360.12,3023.58,1.281,21.0,132.9
Madhya Pradesh,District_17,2019,Rabi,Mustard,196.8,3603.95,18.313,19.3,734.6
Haryana,District_18,2020,Summer,Sugarcane,1458.07,990.45,0.679,27.3,369.4
Gujarat,District_19,2021,Kharif,Cotton,2465.98,13632.12,5.528,34.3,136.8
Maharashtra,District_20,2021,Rabi,Groundnut,837.45,3887.34,4.642,31.2,100.9
Punjab,District_21,2022,Summer,Groundnut,3317.49,6771.25,2.041,28.5,432.9
Uttar Pradesh,District_22,2022,Summer,Cotton,2082.21,3305.25,1.587,29.9,332.3
West Bengal,District_23,2023,Rabi,Soybean,9333.67,69948.16,7.494,28.2,48.0
Uttar Pradesh,District_24,2023,Kharif,Sugarcane,517.7,7292.46,14.086,27.2,353.8
Tamil Nadu,District_25,2018,Rabi,Soybean,2516.72,1433.69,0.57,29.5,131.2
Uttar Pradesh,District_26,2019,Summer,Wheat,396.5,10213.34,7.5736545840163405,18.2,74.5
Uttar Pradesh,District_27,2022,Rabi,Barley,218.03,255.59,1.172,26.0,30.5
Maharashtra,District_28,2021,Kharif,Wheat,143.23,3566.72,11.935098370463205,24.6,119.7
Maharashtra,District_29,2020,Summer,Groundnut,1878.68,4811.39,2.561,25.4,147.0
Karnataka,District_30,2021,Rabi,Mustard,1318.5,3628.34,2.752,22.7,528.4
Gujarat,District_31,2019,Kharif,Rice,679.22,1806.83,2.66,27.6,319.2
West Bengal,District_32,2023,Summer,Barley,186.14,653.01,3.508,20.9,93.1
Uttar Pradesh,District_33,2021,Kharif,Groundnut,549.83,912.31,1.659,22.3,202.6
Uttar Pradesh,District_34,2018,Summer,Soybean,1101.13,3474.18,3.155,21.7,287.4
Punjab,District_35,2019,Rabi,Soybean,2423.99,561.0,0.231,29.3,159.0
Maharashtra,District_36,2023,Kharif,Soybean,1078.65,42414.75,5.397112075722472,24.9,92.8
West Bengal,District_37,2020,Summer,Mustard,1411.01,56.75,0.04,22.7,97.0
Madhya Pradesh,District_38,2023,Kharif,Wheat,752.85,1835.08,2.438,23.1,202.0
Karnataka,District_39,2018,Kharif,Rice,6305.79,3517.78,0.558,25.0,206.5
Gujarat,District_40,2019,Rabi,Soybean,396.13,6381.33,16.109,33.1,117.4
Haryana,District_41,2020,Kharif,Pulses,544.99,754.54,1.385,18.8,18.3
Gujarat,District_42,2018,Summer,Barley,670.24,16341.16,13.39408037609272,28.4,52.9
Tamil Nadu,District_43,2023,Summer,Sugarcane,1886.93,368.43,0.195,27.4,243.7
Uttar Pradesh,District_44,2018,Summer,Pulses,388.05,1275.13,3.286,20.6,27.0
Karnataka,District_45,2019,Summer,Rice,1256.04,7563.74,6.022,32.3,382.7
Tamil Nadu,District_46,2022,Rabi,Mustard,1293.25,14189.86,10.972,27.7,340.0
West Bengal,District_47,2018,Kharif,Rice,547.65,362.85,0.663,22.5,153.4
Haryana,District_48,2018,Rabi,Sugarcane,1525.35,157558.99,9.481708470213185,15.7,239.5
Maharashtra,District_49,2023,Kharif,Barley,400.29,775.7,1.938,26.1,226.6
Karnataka,District_50,2023,Kharif,Sugarcane,358.86,416.43,1.16,24.8,135.2
Karnataka,District_1,2020,Kharif,Cotton,1211.49,6336.44,5.23,19.8,49.4
Uttar Pradesh,District_2,2023,Rabi,Barley,208.56,1767.92,8.477,19.8,321.8
Rajasthan,District_3,2021,Kharif,Rice,128.41,1416.47,11.031,29.3,457.5
Karnataka,District_4,2019,Rabi,Soybean,1868.39,7284.22,3.899,15.2,56.4
Punjab,District_5,2019,Summer,Rice,3130.57,301.59,0.096,26.6,48.0
Haryana,District_6,2022,Summer,Rice,687.59,232.01,0.337,24.1,133.0
Haryana,District_7,2022,Kharif,Barley,562.24,1216.66,2.164,27.5,89.9
Punjab,District_8,2019,Rabi,Cotton,2997.5,15015.72,5.009,23.5,166.7
Madhya Pradesh,District_9,2022,Summer,Rice,348.79,1298.44,3.723,26.5,390.1
Punjab,District_10,2020,Rabi,Pulses,280.52,32818.09,11.366929143579418,21.3,24.6
Punjab,District_11,2023,Rabi,Groundnut,2225.28,18061.22,8.116,24.8,525.9
Haryana,District_12,2019,Kharif,Maize,1106.59,4557.0,4.118,27.4,107.2
Gujarat,District_13,2022,Summer,Maize,3180.76,4962.11,1.56,25.8,223.5
Haryana,District_14,2019,Kharif,Rice,128.99,4550.55,7.212378198066837,26.9,243.5
Rajasthan,District_15,2021,Kharif,Pulses,270.24,3787.94,14.017,20.4,267.3
Uttar Pradesh,District_16,2018,Summer,Soybean,1112.46,1720.96,1.547,22.0,155.9
Tamil Nadu,District_17,2023,Summer,Mustard,1665.16,2048.2,1.23,22.1,188.0
Gujarat,District_18,2019,Rabi,Mustard,2558.04,598.88,0.234,23.6,187.0
Maharashtra,District_19,2018,Summer,Barley,1306.12,108.3,0.083,31.8,89.6
Tamil Nadu,District_20,2022,Rabi,Maize,1292.92,15616.85,12.079,23.2,36.4
Uttar Pradesh,District_21,2018,Rabi,Rice,742.93,3773.99,5.08,19.3,56.0
Rajasthan,District_22,2023,Rabi,Mustard,5382.48,3008.86,0.559,27.7,136.5
Rajasthan,District_23,2019,Summer,Rice,363.94,5419.04,14.89,31.7,79.1
Maharashtra,District_24,2021,Kharif,Barley,1570.3,860.41,0.548,18.7,79.2
Gujarat,District_25,2022,Rabi,Maize,408.38,664.08,1.626,34.9,626.0
Madhya Pradesh,District_26,2019,Kharif,Sugarcane,1872.03,1947.83,1.04,27.1,295.0
Punjab,District_27,2023,Kharif,Groundnut,388.77,23205.57,11.770737126584478,30.2,121.3
Gujarat,District_28,2022,Summer,Groundnut,2307.26,516.4,0.224,32.3,254.1
Madhya Pradesh,District_29,2020,Kharif,Mustard,1226.73,57.94,0.047,29.9,106.0
Rajasthan,District_30,2018,Kharif,Groundnut,6276.95,1363.62,0.217,24.4,162.2
Haryana,District_31,2023,Summer,Sugarcane,827.97,16548.49,19.987,31.1,211.3
Uttar Pradesh,District_32,2020,Rabi,Rice,1677.34,221.67,0.132,26.3,106.3
Maharashtra,District_33,2019,Kharif,Barley,502.88,507.54,1.009,30.5,85.8
Uttar Pradesh,District_34,2021,Summer,Sugarcane,822.3,4426.3,5.383,31.0,395.1
West Bengal,District_35,2022,Kharif,Barley,1218.96,140766.89,12.722402758932766,19.5,242.6
West Bengal,District_36,2018,Kharif,Barley,238.12,388.65,1.632,29.0,24.4
Gujarat,District_37,2022,Rabi,Maize,265.7,366.72,1.38,24.1,87.0
Rajasthan,District_38,2019,Kharif,Rice,1997.91,4954.48,2.48,25.7,79.4
Rajasthan,District_39,2022,Summer,Pulses,947.58,18160.64,19.165,25.6,90.3
Punjab,District_40,2018,Kharif,Groundnut,606.12,1168.94,1.929,25.4,295.9
Punjab,District_41,2019,Rabi,Pulses,524.8,261.89,0.499,32.6,150.7
Punjab,District_42,2022,Rabi,Maize,545.4,5713.71,10.476,18.2,48.8
Haryana,District_43,2021,Summer,Barley,1227.27,7497.03,6.109,16.4,109.2
Tamil Nadu,District_44,2023,Rabi,Mustard,1711.35,42958.19,9.732131868843988,15.3,228.9
Karnataka,District_45,2019,Kharif,Groundnut,135.35,7985.8,11.177269240617942,30.3,124.5
Tamil Nadu,District_46,2023,Rabi,Groundnut,4504.51,10322.68,2.292,21.1,88.6
Uttar Pradesh,District_47,2019,Summer,Rice,4195.22,2011.79,0.48,25.7,193.4
Tamil Nadu,District_48,2021,Rabi,Cotton,106.63,116105.73,9.563259238223985,24.4,541.6
Haryana,District_49,2023,Rabi,Wheat,3248.43,1640.55,0.505,20.6,214.7
